gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_214s0060g02300.2	783	321	202	143	221	139	-1.224281916	0.000840191	0.004702524
VIT_213s0064g00630.1	1715	1378	1304	1302	1457	1374	0.006817275	0.94763313	0.973094124
VIT_219s0090g01000.1	85536	65363	65141	68538	69533	73352	0.066585442	0.48242607	0.658854169
VIT_200s0203g00170.1	93	84	107	135	121	231	0.85121292	0.006102174	0.024853635
VIT_200s1499g00005.1	17	24	8	5	11	14	-0.615443396	0.392753143	0.577520804
VIT_207s0104g00630.1	2035	1759	1727	1792	1765	1764	0.039165966	0.70450308	0.827633179
VIT_216s0039g01170.1	97	100	93	14	38	26	-1.819919528	2.14E-06	2.53E-05
VIT_208s0032g00560.3	169	120	100	140	172	154	0.366116865	0.103605889	0.23124696
VIT_207s0005g03070.1	1669	1182	1020	944	1190	1205	-0.1083807	0.466508434	0.645416469
VIT_218s0001g12800.1	4060	3876	3378	2458	2551	2415	-0.516010066	1.70E-07	2.60E-06
VIT_218s0072g00120.1	5184	4433	4472	4138	3783	4015	-0.146662199	0.174985109	0.33710653
VIT_203s0017g01220.3	1800	1519	1130	2026	1563	1447	0.291962881	0.104174535	0.232254427
VIT_201s0146g00310.1	12075	9937	8948	9678	10541	11022	0.109838766	0.214752758	0.387456868
VIT_219s0177g00110.1	12	9	12	3	8	5	-0.967799027	0.237715662	0.415196717
VIT_201s0026g00180.1	0	0	0	8	3	6	5.045878479	0.006053498	0.024695596
VIT_212s0034g01360.1	82	55	60	55	95	106	0.468484631	0.151801861	0.305763394
VIT_203s0132g00280.1	22	10	18	18	24	30	0.617561581	0.256801041	0.437247427
VIT_206s0004g00320.1	183	109	103	144	147	137	0.229075481	0.346450204	0.53351625
