gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_14s0219g00130.t01	227	285	237	424	369	471	0.854295189	4.70E-07	6.18E-06
VIT_07s0005g04980.t01	6	10	8	14	6	4	0.127987873	0.883524899	0.935364787
VIT_15s0046g01940.t01	1535	1906	1646	1734	1761	1758	0.144289937	0.136435492	0.280644995
VIT_00s0181g00190.t01	19	42	24	34	48	35	0.581302998	0.188849225	0.353881718
VIT_16s0039g01050.t01	0	0	4	0	2	0	-0.958102904	0.768892902	1
VIT_00s0485g00010.t01	10	2	2	2	4	8	0.005838635	0.996149076	0.998124818
VIT_19s0027g00970.t01	19	31	20	14	18	24	-0.216072385	0.67977621	0.811244488
VIT_12s0059g01480.t01	211	320	235	146	157	125	-0.730903339	0.000375063	0.002322289
VIT_18s0001g05690.t01	3802	4716	5491	5366	6809	5737	0.446420618	0.002480793	0.011580573
VIT_06s0004g03240.t01	59001	68694	68570	109088	110118	104009	0.813820537	5.45E-16	2.92E-14
VIT_10s0071g00940.t01	1668	1458	1386	2439	2507	3148	0.92022683	2.71E-08	4.61E-07
VIT_00s0539g00010.t01	22	22	19	14	14	12	-0.564999686	0.310536987	0.494978446
VIT_13s0019g02240.t01	1045	1558	1382	1285	1196	1113	-0.040584061	0.770265633	0.871783026
VIT_13s0067g03100.t01	8505	11615	9311	8838	9505	9110	0.002303417	0.979461212	0.988789003
VIT_03s0180g00270.t01	201	225	245	88	232	227	-0.21872789	0.495379309	0.670073288
VIT_13s0047g00160.t01	32	27	36	13	59	26	0.106528752	0.853455935	0.918782291
VIT_14s0060g01200.t01	2245	2594	2565	2582	2323	2214	0.039642146	0.753241396	0.860927881
VIT_19s0014g01050.t01	635	673	703	493	698	965	0.180173335	0.405692408	0.590537272
VIT_06s0080g01260.t01	546	575	661	774	762	747	0.446615996	0.00291626	0.013296219
VIT_07s0104g01450.t01	153	250	171	211	188	182	0.13196237	0.535592814	0.70418999
VIT_02s0025g02890.t01	1142	1264	1032	1137	902	874	-0.140834761	0.392139304	0.577915762
VIT_05s0029g00250.t01	16	21	18	10	16	13	-0.401001385	0.491396466	0.666597836
VIT_18s0001g01830.t01	6007	6879	5638	6603	7220	6912	0.255968837	0.010302881	0.037738773
VIT_13s0067g03370.t01	154	224	237	248	202	195	0.175319963	0.436031833	0.618496515
VIT_08s0040g00060.t01	65	97	52	53	104	90	0.307931509	0.378011757	0.564490654
VIT_10s0003g03310.t01	1470	1301	1266	1396	1047	1114	-0.096647233	0.600676809	0.753833756
VIT_14s0006g02880.t01	2322	2462	2675	4623	4716	4409	0.971250591	1.36E-15	6.92E-14
VIT_00s0394g00040.t01	12	68	39	4	4	39	-1.199011783	0.170763339	0.329899441
VIT_03s0038g01650.t01	2586	2334	2466	1533	1936	2056	-0.342950383	0.02722039	0.082748974
VIT_09s0002g00240.t01	2	0	0	1	1	1	0.568827611	0.825379268	1
VIT_06s0061g01440.t01	46	72	113	147	142	140	0.99325905	0.002463789	0.011519985
VIT_05s0051g00200.t01	12	3	7	6	7	11	0.157443999	0.862469688	0.923877066
VIT_19s0027g00990.t01	86	86	87	71	96	80	0.016500588	0.952166498	0.97416248
VIT_00s2249g00010.t01	558	642	554	556	631	676	0.17898504	0.176068409	0.337104972
VIT_13s0067g03590.t01	22	7	11	14	21	16	0.388072614	0.573932257	0.734685911
VIT_07s0031g00620.t01	3508	3284	3508	4873	4941	4628	0.570766895	2.03E-05	0.000178828
VIT_15s0024g00800.t01	1566	3010	1838	1376	1346	1380	-0.520830656	0.002411103	0.011331491
VIT_00s0820g00020.t01	10	33	22	12	14	17	-0.464263232	0.446583111	0.628148524
VIT_02s0087g00710.t01	436	270	193	213	273	332	-0.081202568	0.799737131	0.888652872
VIT_11s0016g05890.t01	2362	3140	2447	1931	2034	1862	-0.345660186	0.001080485	0.005768213
VIT_00s0193g00010.t01	0	0	1	0	0	0	-0.870065105	0.831150269	1
VIT_17s0000g00270.t01	47	51	43	103	132	76	1.234065457	0.000156096	0.001076544
VIT_10s0092g00210.t01	1445	1803	1275	1061	1325	1332	-0.186688472	0.177919388	0.339386584
VIT_18s0001g07730.t01	2545	3571	2869	2782	2990	2945	0.059834541	0.538136561	0.706439218
VIT_08s0007g02980.t01	0	3	4	0	0	0	-3.519764998	0.241447059	1
VIT_08s0056g01410.t01	7	36	8	4	4	7	-1.593989605	0.076081449	0.182584313
VIT_08s0007g05270.t01	7076	8096	7375	5114	3725	3666	-0.749576996	4.66E-06	4.83E-05
VIT_15s0045g00470.t01	0	0	0	0	1	0	1.053488247	0.79626955	1
VIT_17s0000g04860.t01	1096	1189	1047	918	824	820	-0.285290613	0.03574876	0.102522465
VIT_07s0005g02520.t01	9	22	9	10	4	4	-1.001794229	0.233449374	0.408974011
VIT_07s0151g00280.t01	14631	15913	13825	11687	10785	9147	-0.393892373	0.004276624	0.018262191
VIT_15s0046g01080.t01	776	1129	954	846	864	829	-0.065858415	0.593290677	0.748874125
VIT_05s0020g03190.t01	4027	4922	3855	2023	1756	1658	-1.133774782	2.60E-17	1.64E-15
VIT_06s0009g02060.t01	345	344	353	322	302	240	-0.180060905	0.359319296	0.545846751
VIT_02s0033g00090.t01	7	10	4	7	1	0	-1.24317655	0.352474148	0.539118714
VIT_19s0014g05140.t01	159	179	161	155	166	164	0.051869495	0.790571133	0.883834204
VIT_18s0001g01490.t01	8418	9504	8788	10017	8311	8350	0.095215904	0.464211634	0.642740708
VIT_15s0021g02070.t01	961	1032	846	671	461	602	-0.614890968	0.000890575	0.004913565
VIT_16s0050g02350.t01	2891	3411	3265	3152	4836	4821	0.507590307	0.001070872	0.005728915
VIT_00s0380g00030.t01	1	3	0	1	1	1	-0.255219108	0.904531424	1
VIT_06s0004g07950.t01	12	20	19	3	11	8	-1.117809551	0.127513924	0.266737041
VIT_03s0091g00860.t01	1398	1816	1433	1095	1359	1226	-0.238538252	0.040231114	0.112543899
VIT_12s0059g01550.t01	23	48	21	18	12	18	-0.807664293	0.138162815	0.283316674
VIT_11s0052g00770.t01	0	0	0	0	2	0	1.92043903	0.634567165	1
VIT_18s0001g01130.t01	106017	150259	128022	171493	185820	176996	0.579187644	3.94E-10	9.22E-09
VIT_18s0001g13580.t01	46	43	40	25	7	20	-1.215368211	0.024633429	0.076305175
VIT_04s0044g00300.t01	457	537	420	257	206	278	-0.83457439	4.73E-06	4.90E-05
VIT_07s0095g00560.t01	8	5	2	0	3	0	-2.278249489	0.18336074	0.346718215
VIT_07s0031g01630.t01	4122	5317	4937	4983	4716	4569	0.089955069	0.399215579	0.584676929
VIT_03s0038g00620.t01	2107	3188	2652	2194	1977	1968	-0.262187926	0.042115481	0.116604372
VIT_02s0154g00220.t01	0	0	0	4	2	0	3.563395348	0.243799594	1
VIT_06s0080g00040.t01	113	165	168	70	172	219	0.135101601	0.707115105	0.830492688
VIT_14s0108g00010.t01	4000	5342	4540	4551	4790	4734	0.120915759	0.165856604	0.323726835
VIT_15s0048g00130.t01	4	5	0	3	0	3	-0.459675929	0.798098114	0.887779465
VIT_11s0016g04550.t01	3375	3929	3442	2252	3085	2860	-0.301134888	0.015311334	0.05215466
VIT_08s0007g08600.t01	683	1288	831	523	794	854	-0.254758029	0.222960698	0.396022892
VIT_03s0017g00520.t01	2	1	8	2	6	7	0.499909977	0.686769361	0.816117815
VIT_18s0072g00360.t01	1	2	2	6	1	6	1.498511476	0.283821452	0.46655609
VIT_05s0077g00500.t01	315	356	289	73	82	76	-1.962052036	4.10E-22	4.38E-20
VIT_04s0044g01310.t01	206	256	206	294	305	238	0.425585844	0.024118117	0.075001021
